month,ddd,qty
202508,1,2
202508,2,1
202508,8,1
202508,11,17065
202508,12,1768
202508,13,1335
202508,14,1824
202508,15,1296
202508,16,1158
202508,17,1077
202508,18,1077
202508,19,3293
202508,21,6098
202508,22,1299
202508,23,1
202508,24,733
202508,27,2236
202508,28,388
202508,29,1
202508,31,4816
202508,32,825
202508,33,640
202508,34,884
202508,35,1551
202508,37,1019
202508,38,771
202508,41,1047
202508,42,201
202508,43,255
202508,44,258
202508,45,267
202508,46,77
202508,47,1648
202508,48,1573
202508,49,309
202508,51,4051
202508,53,436
202508,54,1459
202508,55,997
202508,56,1
202508,59,2
202508,61,1530
202508,62,1015
202508,63,138
202508,64,525
202508,65,1248
202508,66,895
202508,67,1500
202508,68,235
202508,69,419
202508,71,1788
202508,73,369
202508,74,171
202508,75,619
202508,77,457
202508,79,531
202508,81,817
202508,82,251
202508,83,482
202508,84,1236
202508,85,973
202508,86,229
202508,87,153
202508,88,272
202508,89,94
202508,91,1453
202508,92,1710
202508,93,803
202508,94,1407
202508,95,867
202508,96,317
202508,97,22
202508,98,767
202508,99,400
